# x	y	u	v	s2n	mask
 32.0000	5760.0000	  0.0068	 -0.0009	     nan	  0.0000
 64.0000	5760.0000	  0.0065	 -0.0008	     nan	  0.0000
 96.0000	5760.0000	  0.0066	 -0.0009	     nan	  0.0000
128.0000	5760.0000	  0.0076	 -0.0015	     nan	  0.0000
160.0000	5760.0000	  0.0078	 -0.0018	     nan	  0.0000
192.0000	5760.0000	  0.0071	 -0.0018	     nan	  0.0000
224.0000	5760.0000	  0.0062	 -0.0017	     nan	  0.0000
256.0000	5760.0000	  0.0052	 -0.0014	     nan	  0.0000
288.0000	5760.0000	  0.0042	 -0.0010	     nan	  0.0000
320.0000	5760.0000	  0.0044	 -0.0005	     nan	  0.0000
352.0000	5760.0000	  0.0065	  0.0003	     nan	  0.0000
384.0000	5760.0000	  0.0120	  0.0020	     nan	  0.0000
416.0000	5760.0000	  0.0141	  0.0051	     nan	  0.0000
448.0000	5760.0000	  0.0137	  0.0062	     nan	  0.0000
480.0000	5760.0000	  0.0114	  0.0062	     nan	  0.0000
512.0000	5760.0000	  0.0095	  0.0056	     nan	  0.0000
544.0000	5760.0000	  0.0079	  0.0050	     nan	  0.0000
576.0000	5760.0000	  0.0061	  0.0046	     nan	  0.0000
608.0000	5760.0000	  0.0036	  0.0047	     nan	  0.0000
640.0000	5760.0000	  0.0011	  0.0047	     nan	  0.0000
672.0000	5760.0000	 -0.0007	  0.0043	     nan	  0.0000
704.0000	5760.0000	 -0.0020	  0.0038	     nan	  0.0000
736.0000	5760.0000	 -0.0030	  0.0034	     nan	  0.0000
768.0000	5760.0000	 -0.0039	  0.0030	     nan	  0.0000
800.0000	5760.0000	 -0.0047	  0.0027	     nan	  0.0000
832.0000	5760.0000	 -0.0054	  0.0023	     nan	  0.0000
864.0000	5760.0000	 -0.0066	  0.0019	     nan	  0.0000
896.0000	5760.0000	 -0.0089	  0.0019	     nan	  0.0000
928.0000	5760.0000	 -0.0118	  0.0022	     nan	  0.0000
960.0000	5760.0000	 -0.0150	  0.0026	     nan	  0.0000
992.0000	5760.0000	 -0.0182	  0.0032	     nan	  0.0000
1024.0000	5760.0000	 -0.0214	  0.0037	     nan	  0.0000
1056.0000	5760.0000	 -0.0241	  0.0042	     nan	  0.0000
1088.0000	5760.0000	 -0.0255	  0.0045	     nan	  0.0000
1120.0000	5760.0000	 -0.0254	  0.0044	     nan	  0.0000
1152.0000	5760.0000	 -0.0241	  0.0040	     nan	  0.0000
1184.0000	5760.0000	 -0.0219	  0.0034	     nan	  0.0000
1216.0000	5760.0000	 -0.0192	  0.0025	     nan	  0.0000
1248.0000	5760.0000	 -0.0161	  0.0016	     nan	  0.0000
1280.0000	5760.0000	 -0.0129	  0.0007	     nan	  0.0000
1312.0000	5760.0000	 -0.0102	 -0.0001	     nan	  0.0000
1344.0000	5760.0000	 -0.0081	 -0.0007	     nan	  0.0000
1376.0000	5760.0000	 -0.0065	 -0.0010	     nan	  0.0000
1408.0000	5760.0000	 -0.0053	 -0.0012	     nan	  0.0000
1440.0000	5760.0000	 -0.0042	 -0.0012	     nan	  0.0000
1472.0000	5760.0000	 -0.0033	 -0.0010	     nan	  0.0000
1504.0000	5760.0000	 -0.0026	 -0.0008	     nan	  0.0000
1536.0000	5760.0000	 -0.0017	 -0.0003	     nan	  0.0000
1568.0000	5760.0000	 -0.0010	  0.0004	     nan	  0.0000
1600.0000	5760.0000	 -0.0009	  0.0019	     nan	  0.0000
1632.0000	5760.0000	 -0.0022	  0.0040	     nan	  0.0000
1664.0000	5760.0000	 -0.0043	  0.0062	     nan	  0.0000
1696.0000	5760.0000	 -0.0060	  0.0074	     nan	  0.0000
1728.0000	5760.0000	 -0.0070	  0.0071	     nan	  0.0000
1760.0000	5760.0000	 -0.0062	  0.0055	     nan	  0.0000
1792.0000	5760.0000	 -0.0030	  0.0024	     nan	  0.0000
1824.0000	5760.0000	  0.0010	 -0.0009	     nan	  0.0000
1856.0000	5760.0000	  0.0063	 -0.0028	     nan	  0.0000
1888.0000	5760.0000	  0.0074	 -0.0031	     nan	  0.0000
1920.0000	5760.0000	  0.0035	 -0.0016	     nan	  0.0000
1952.0000	5760.0000	 -0.0019	  0.0034	     nan	  0.0000
1984.0000	5760.0000	 -0.0073	  0.0067	     nan	  0.0000
2016.0000	5760.0000	 -0.0092	 -0.0002	     nan	  0.0000
2048.0000	5760.0000	  0.0025	 -0.0096	     nan	  0.0000
 32.0000	5728.0000	  0.0142	 -0.0024	     nan	  0.0000
 64.0000	5728.0000	  0.0130	 -0.0021	     nan	  0.0000
 96.0000	5728.0000	  0.0120	 -0.0019	     nan	  0.0000
128.0000	5728.0000	  0.0113	 -0.0020	     nan	  0.0000
160.0000	5728.0000	  0.0104	 -0.0021	     nan	  0.0000
192.0000	5728.0000	  0.0092	 -0.0020	     nan	  0.0000
224.0000	5728.0000	  0.0083	 -0.0022	     nan	  0.0000
256.0000	5728.0000	  0.0064	 -0.0018	     nan	  0.0000
288.0000	5728.0000	  0.0034	 -0.0011	     nan	  0.0000
320.0000	5728.0000	  0.0022	 -0.0006	     nan	  0.0000
352.0000	5728.0000	  0.0029	 -0.0002	     nan	  0.0000
384.0000	5728.0000	  0.0061	  0.0006	     nan	  0.0000
416.0000	5728.0000	  0.0079	  0.0023	     nan	  0.0000
448.0000	5728.0000	  0.0082	  0.0033	     nan	  0.0000
480.0000	5728.0000	  0.0074	  0.0037	     nan	  0.0000
512.0000	5728.0000	  0.0066	  0.0039	     nan	  0.0000
544.0000	5728.0000	  0.0060	  0.0039	     nan	  0.0000
576.0000	5728.0000	  0.0048	  0.0039	     nan	  0.0000
608.0000	5728.0000	  0.0028	  0.0042	     nan	  0.0000
640.0000	5728.0000	  0.0006	  0.0043	     nan	  0.0000
672.0000	5728.0000	 -0.0013	  0.0041	     nan	  0.0000
704.0000	5728.0000	 -0.0027	  0.0037	     nan	  0.0000
736.0000	5728.0000	 -0.0040	  0.0033	     nan	  0.0000
768.0000	5728.0000	 -0.0053	  0.0030	     nan	  0.0000
800.0000	5728.0000	 -0.0064	  0.0027	     nan	  0.0000
832.0000	5728.0000	 -0.0073	  0.0022	     nan	  0.0000
864.0000	5728.0000	 -0.0087	  0.0019	     nan	  0.0000
896.0000	5728.0000	 -0.0110	  0.0019	     nan	  0.0000
928.0000	5728.0000	 -0.0138	  0.0021	     nan	  0.0000
960.0000	5728.0000	 -0.0167	  0.0026	     nan	  0.0000
992.0000	5728.0000	 -0.0198	  0.0032	     nan	  0.0000
1024.0000	5728.0000	 -0.0227	  0.0037	     nan	  0.0000
1056.0000	5728.0000	 -0.0252	  0.0043	     nan	  0.0000
1088.0000	5728.0000	 -0.0265	  0.0046	     nan	  0.0000
1120.0000	5728.0000	 -0.0263	  0.0046	     nan	  0.0000
1152.0000	5728.0000	 -0.0249	  0.0042	     nan	  0.0000
1184.0000	5728.0000	 -0.0227	  0.0036	     nan	  0.0000
1216.0000	5728.0000	 -0.0199	  0.0028	     nan	  0.0000
1248.0000	5728.0000	 -0.0168	  0.0018	     nan	  0.0000
1280.0000	5728.0000	 -0.0137	  0.0009	     nan	  0.0000
1312.0000	5728.0000	 -0.0111	  0.0001	     nan	  0.0000
1344.0000	5728.0000	 -0.0091	 -0.0005	     nan	  0.0000
1376.0000	5728.0000	 -0.0077	 -0.0009	     nan	  0.0000
1408.0000	5728.0000	 -0.0066	 -0.0010	     nan	  0.0000
1440.0000	5728.0000	 -0.0055	 -0.0010	     nan	  0.0000
1472.0000	5728.0000	 -0.0045	 -0.0009	     nan	  0.0000
1504.0000	5728.0000	 -0.0035	 -0.0006	     nan	  0.0000
1536.0000	5728.0000	 -0.0023	 -0.0002	     nan	  0.0000
1568.0000	5728.0000	 -0.0012	  0.0005	     nan	  0.0000
1600.0000	5728.0000	 -0.0005	  0.0018	     nan	  0.0000
1632.0000	5728.0000	 -0.0013	  0.0038	     nan	  0.0000
1664.0000	5728.0000	 -0.0034	  0.0064	     nan	  0.0000
1696.0000	5728.0000	 -0.0061	  0.0087	     nan	  0.0000
1728.0000	5728.0000	 -0.0103	  0.0095	     nan	  0.0000
1760.0000	5728.0000	 -0.0121	  0.0086	     nan	  0.0000
1792.0000	5728.0000	 -0.0093	  0.0049	     nan	  0.0000
1824.0000	5728.0000	 -0.0018	 -0.0008	     nan	  0.0000
1856.0000	5728.0000	  0.0109	 -0.0062	     nan	  0.0000
1888.0000	5728.0000	  0.0186	 -0.0094	     nan	  0.0000
1920.0000	5728.0000	  0.0200	 -0.0095	     nan	  0.0000
1952.0000	5728.0000	  0.0180	 -0.0046	     nan	  0.0000
1984.0000	5728.0000	  0.0129	 -0.0018	     nan	  0.0000
2016.0000	5728.0000	  0.0208	 -0.0148	     nan	  0.0000
2048.0000	5728.0000	  0.0530	 -0.0332	     nan	  0.0000
 32.0000	5696.0000	  0.0157	 -0.0028	     nan	  0.0000
 64.0000	5696.0000	  0.0146	 -0.0025	     nan	  0.0000
 96.0000	5696.0000	  0.0131	 -0.0022	     nan	  0.0000
128.0000	5696.0000	  0.0114	 -0.0020	     nan	  0.0000
160.0000	5696.0000	  0.0102	 -0.0018	     nan	  0.0000
192.0000	5696.0000	  0.0097	 -0.0021	     nan	  0.0000
224.0000	5696.0000	  0.0104	 -0.0031	     nan	  0.0000
256.0000	5696.0000	  0.0088	 -0.0028	     nan	  0.0000
288.0000	5696.0000	  0.0057	 -0.0019	     nan	  0.0000
320.0000	5696.0000	  0.0037	 -0.0013	     nan	  0.0000
352.0000	5696.0000	  0.0030	 -0.0009	     nan	  0.0000
384.0000	5696.0000	  0.0041	 -0.0005	     nan	  0.0000
416.0000	5696.0000	  0.0048	  0.0005	     nan	  0.0000
448.0000	5696.0000	  0.0048	  0.0015	     nan	  0.0000
480.0000	5696.0000	  0.0044	  0.0022	     nan	  0.0000
512.0000	5696.0000	  0.0040	  0.0028	     nan	  0.0000
544.0000	5696.0000	  0.0037	  0.0032	     nan	  0.0000
576.0000	5696.0000	  0.0029	  0.0035	     nan	  0.0000
608.0000	5696.0000	  0.0011	  0.0040	     nan	  0.0000
640.0000	5696.0000	 -0.0011	  0.0043	     nan	  0.0000
672.0000	5696.0000	 -0.0030	  0.0042	     nan	  0.0000
704.0000	5696.0000	 -0.0047	  0.0039	     nan	  0.0000
736.0000	5696.0000	 -0.0063	  0.0036	     nan	  0.0000
768.0000	5696.0000	 -0.0079	  0.0032	     nan	  0.0000
800.0000	5696.0000	 -0.0093	  0.0029	     nan	  0.0000
832.0000	5696.0000	 -0.0105	  0.0024	     nan	  0.0000
864.0000	5696.0000	 -0.0120	  0.0021	     nan	  0.0000
896.0000	5696.0000	 -0.0142	  0.0020	     nan	  0.0000
928.0000	5696.0000	 -0.0167	  0.0022	     nan	  0.0000
960.0000	5696.0000	 -0.0194	  0.0027	     nan	  0.0000
992.0000	5696.0000	 -0.0221	  0.0032	     nan	  0.0000
1024.0000	5696.0000	 -0.0246	  0.0038	     nan	  0.0000
1056.0000	5696.0000	 -0.0267	  0.0044	     nan	  0.0000
1088.0000	5696.0000	 -0.0277	  0.0047	     nan	  0.0000
1120.0000	5696.0000	 -0.0274	  0.0048	     nan	  0.0000
1152.0000	5696.0000	 -0.0260	  0.0046	     nan	  0.0000
1184.0000	5696.0000	 -0.0237	  0.0041	     nan	  0.0000
1216.0000	5696.0000	 -0.0208	  0.0032	     nan	  0.0000
1248.0000	5696.0000	 -0.0177	  0.0022	     nan	  0.0000
1280.0000	5696.0000	 -0.0146	  0.0012	     nan	  0.0000
1312.0000	5696.0000	 -0.0122	  0.0003	     nan	  0.0000
1344.0000	5696.0000	 -0.0103	 -0.0003	     nan	  0.0000
1376.0000	5696.0000	 -0.0089	 -0.0007	     nan	  0.0000
1408.0000	5696.0000	 -0.0079	 -0.0010	     nan	  0.0000
1440.0000	5696.0000	 -0.0066	 -0.0010	     nan	  0.0000
1472.0000	5696.0000	 -0.0052	 -0.0009	     nan	  0.0000
1504.0000	5696.0000	 -0.0039	 -0.0007	     nan	  0.0000
1536.0000	5696.0000	 -0.0020	 -0.0003	     nan	  0.0000
1568.0000	5696.0000	 -0.0004	  0.0001	     nan	  0.0000
1600.0000	5696.0000	  0.0009	  0.0006	     nan	  0.0000
1632.0000	5696.0000	  0.0022	  0.0016	     nan	  0.0000
1664.0000	5696.0000	  0.0015	  0.0042	     nan	  0.0000
1696.0000	5696.0000	 -0.0025	  0.0085	     nan	  0.0000
1728.0000	5696.0000	 -0.0140	  0.0130	     nan	  0.0000
1760.0000	5696.0000	 -0.0212	  0.0154	     nan	  0.0000
1792.0000	5696.0000	 -0.0172	  0.0096	     nan	  0.0000
1824.0000	5696.0000	 -0.0022	 -0.0043	     nan	  0.0000
1856.0000	5696.0000	  0.0231	 -0.0183	     nan	  0.0000
1888.0000	5696.0000	  0.0482	 -0.0252	     nan	  0.0000
1920.0000	5696.0000	  0.0521	 -0.0171	     nan	  0.0000
1952.0000	5696.0000	  0.0443	 -0.0039	     nan	  0.0000
1984.0000	5696.0000	  0.0318	 -0.0044	     nan	  0.0000
2016.0000	5696.0000	  0.0565	 -0.0321	     nan	  0.0000
2048.0000	5696.0000	  0.1308	 -0.0710	     nan	  0.0000
 32.0000	5664.0000	  0.0165	 -0.0031	     nan	  0.0000
 64.0000	5664.0000	  0.0155	 -0.0028	     nan	  0.0000
 96.0000	5664.0000	  0.0136	 -0.0023	     nan	  0.0000
128.0000	5664.0000	  0.0102	 -0.0015	     nan	  0.0000
160.0000	5664.0000	  0.0086	 -0.0011	     nan	  0.0000
192.0000	5664.0000	  0.0083	 -0.0013	     nan	  0.0000
224.0000	5664.0000	  0.0092	 -0.0020	     nan	  0.0000
256.0000	5664.0000	  0.0084	 -0.0019	     nan	  0.0000
288.0000	5664.0000	  0.0064	 -0.0014	     nan	  0.0000
320.0000	5664.0000	  0.0046	 -0.0010	     nan	  0.0000
352.0000	5664.0000	  0.0036	 -0.0008	     nan	  0.0000
384.0000	5664.0000	  0.0035	 -0.0005	     nan	  0.0000
