# x	y	u	v	s2n	mask
 32.0000	5760.0000	 -0.0081	  0.0022	     nan	  0.0000
 64.0000	5760.0000	 -0.0089	  0.0022	     nan	  0.0000
 96.0000	5760.0000	 -0.0131	  0.0019	     nan	  0.0000
128.0000	5760.0000	 -0.0248	  0.0012	     nan	  0.0000
160.0000	5760.0000	 -0.0335	  0.0005	     nan	  0.0000
192.0000	5760.0000	 -0.0368	  0.0001	     nan	  0.0000
224.0000	5760.0000	 -0.0385	  0.0003	     nan	  0.0000
256.0000	5760.0000	 -0.0373	  0.0006	     nan	  0.0000
288.0000	5760.0000	 -0.0323	  0.0014	     nan	  0.0000
320.0000	5760.0000	 -0.0281	  0.0027	     nan	  0.0000
352.0000	5760.0000	 -0.0229	  0.0034	     nan	  0.0000
384.0000	5760.0000	 -0.0156	  0.0036	     nan	  0.0000
416.0000	5760.0000	 -0.0129	  0.0031	     nan	  0.0000
448.0000	5760.0000	 -0.0116	  0.0031	     nan	  0.0000
480.0000	5760.0000	 -0.0094	  0.0033	     nan	  0.0000
512.0000	5760.0000	 -0.0070	  0.0032	     nan	  0.0000
544.0000	5760.0000	 -0.0052	  0.0031	     nan	  0.0000
576.0000	5760.0000	 -0.0042	  0.0028	     nan	  0.0000
608.0000	5760.0000	 -0.0033	  0.0023	     nan	  0.0000
640.0000	5760.0000	 -0.0025	  0.0018	     nan	  0.0000
672.0000	5760.0000	 -0.0023	  0.0013	     nan	  0.0000
704.0000	5760.0000	 -0.0025	  0.0010	     nan	  0.0000
736.0000	5760.0000	 -0.0031	  0.0007	     nan	  0.0000
768.0000	5760.0000	 -0.0039	  0.0004	     nan	  0.0000
800.0000	5760.0000	 -0.0047	  0.0002	     nan	  0.0000
832.0000	5760.0000	 -0.0054	  0.0001	     nan	  0.0000
864.0000	5760.0000	 -0.0057	  0.0001	     nan	  0.0000
896.0000	5760.0000	 -0.0055	  0.0002	     nan	  0.0000
928.0000	5760.0000	 -0.0051	  0.0004	     nan	  0.0000
960.0000	5760.0000	 -0.0043	  0.0005	     nan	  0.0000
992.0000	5760.0000	 -0.0033	  0.0008	     nan	  0.0000
1024.0000	5760.0000	 -0.0019	  0.0012	     nan	  0.0000
1056.0000	5760.0000	 -0.0003	  0.0017	     nan	  0.0000
1088.0000	5760.0000	  0.0010	  0.0022	     nan	  0.0000
1120.0000	5760.0000	  0.0018	  0.0026	     nan	  0.0000
1152.0000	5760.0000	  0.0023	  0.0029	     nan	  0.0000
1184.0000	5760.0000	  0.0025	  0.0032	     nan	  0.0000
1216.0000	5760.0000	  0.0025	  0.0035	     nan	  0.0000
1248.0000	5760.0000	  0.0022	  0.0035	     nan	  0.0000
1280.0000	5760.0000	  0.0016	  0.0034	     nan	  0.0000
1312.0000	5760.0000	  0.0008	  0.0032	     nan	  0.0000
1344.0000	5760.0000	 -0.0000	  0.0030	     nan	  0.0000
1376.0000	5760.0000	 -0.0010	  0.0028	     nan	  0.0000
1408.0000	5760.0000	 -0.0022	  0.0027	     nan	  0.0000
1440.0000	5760.0000	 -0.0035	  0.0025	     nan	  0.0000
1472.0000	5760.0000	 -0.0049	  0.0024	     nan	  0.0000
1504.0000	5760.0000	 -0.0065	  0.0023	     nan	  0.0000
1536.0000	5760.0000	 -0.0072	  0.0021	     nan	  0.0000
1568.0000	5760.0000	 -0.0071	  0.0016	     nan	  0.0000
