# x	y	u	v	s2n	mask
 32.0000	5760.0000	 -0.0013	 -0.0050	     nan	  0.0000
 64.0000	5760.0000	 -0.0014	 -0.0047	     nan	  0.0000
 96.0000	5760.0000	 -0.0040	 -0.0032	     nan	  0.0000
128.0000	5760.0000	 -0.0122	  0.0008	     nan	  0.0000
160.0000	5760.0000	 -0.0187	  0.0039	     nan	  0.0000
192.0000	5760.0000	 -0.0211	  0.0055	     nan	  0.0000
224.0000	5760.0000	 -0.0223	  0.0065	     nan	  0.0000
256.0000	5760.0000	 -0.0213	  0.0066	     nan	  0.0000
288.0000	5760.0000	 -0.0171	  0.0058	     nan	  0.0000
320.0000	5760.0000	 -0.0136	  0.0051	     nan	  0.0000
352.0000	5760.0000	 -0.0080	  0.0044	     nan	  0.0000
384.0000	5760.0000	  0.0019	  0.0040	     nan	  0.0000
416.0000	5760.0000	  0.0053	  0.0044	     nan	  0.0000
448.0000	5760.0000	  0.0058	  0.0046	     nan	  0.0000
480.0000	5760.0000	  0.0057	  0.0045	     nan	  0.0000
512.0000	5760.0000	  0.0052	  0.0039	     nan	  0.0000
544.0000	5760.0000	  0.0042	  0.0034	     nan	  0.0000
576.0000	5760.0000	  0.0027	  0.0026	     nan	  0.0000
608.0000	5760.0000	  0.0013	  0.0014	     nan	  0.0000
640.0000	5760.0000	  0.0001	  0.0000	     nan	  0.0000
672.0000	5760.0000	 -0.0009	 -0.0012	     nan	  0.0000
704.0000	5760.0000	 -0.0022	 -0.0021	     nan	  0.0000
736.0000	5760.0000	 -0.0035	 -0.0028	     nan	  0.0000
768.0000	5760.0000	 -0.0046	 -0.0034	     nan	  0.0000
800.0000	5760.0000	 -0.0054	 -0.0038	     nan	  0.0000
832.0000	5760.0000	 -0.0063	 -0.0040	     nan	  0.0000
864.0000	5760.0000	 -0.0072	 -0.0041	     nan	  0.0000
896.0000	5760.0000	 -0.0081	 -0.0042	     nan	  0.0000
928.0000	5760.0000	 -0.0089	 -0.0043	     nan	  0.0000
960.0000	5760.0000	 -0.0094	 -0.0043	     nan	  0.0000
992.0000	5760.0000	 -0.0099	 -0.0042	     nan	  0.0000
1024.0000	5760.0000	 -0.0101	 -0.0040	     nan	  0.0000
1056.0000	5760.0000	 -0.0101	 -0.0038	     nan	  0.0000
1088.0000	5760.0000	 -0.0101	 -0.0035	     nan	  0.0000
1120.0000	5760.0000	 -0.0100	 -0.0031	     nan	  0.0000
1152.0000	5760.0000	 -0.0096	 -0.0028	     nan	  0.0000
1184.0000	5760.0000	 -0.0092	 -0.0025	     nan	  0.0000
1216.0000	5760.0000	 -0.0085	 -0.0022	     nan	  0.0000
1248.0000	5760.0000	 -0.0078	 -0.0020	     nan	  0.0000
1280.0000	5760.0000	 -0.0072	 -0.0016	     nan	  0.0000
1312.0000	5760.0000	 -0.0064	 -0.0013	     nan	  0.0000
1344.0000	5760.0000	 -0.0058	 -0.0008	     nan	  0.0000
1376.0000	5760.0000	 -0.0054	 -0.0003	     nan	  0.0000
1408.0000	5760.0000	 -0.0055	  0.0004	     nan	  0.0000
1440.0000	5760.0000	 -0.0060	  0.0013	     nan	  0.0000
1472.0000	5760.0000	 -0.0071	  0.0026	     nan	  0.0000
1504.0000	5760.0000	 -0.0086	  0.0045	     nan	  0.0000
1536.0000	5760.0000	 -0.0101	  0.0065	     nan	  0.0000
1568.0000	5760.0000	 -0.0114	  0.0087	     nan	  0.0000
1600.0000	5760.0000	 -0.0116	  0.0108	     nan	  0.0000
1632.0000	5760.0000	 -0.0098	  0.0117	     nan	  0.0000
1664.0000	5760.0000	 -0.0080	  0.0130	     nan	  0.0000
1696.0000	5760.0000	 -0.0069	  0.0147	     nan	  0.0000
1728.0000	5760.0000	 -0.0061	  0.0147	     nan	  0.0000
1760.0000	5760.0000	 -0.0100	  0.0159	     nan	  0.0000
1792.0000	5760.0000	 -0.0195	  0.0168	     nan	  0.0000
1824.0000	5760.0000	 -0.0280	  0.0145	     nan	  0.0000
1856.0000	5760.0000	 -0.0399	  0.0133	     nan	  0.0000
1888.0000	5760.0000	 -0.0451	  0.0124	     nan	  0.0000
1920.0000	5760.0000	 -0.0089	  0.0097	     nan	  0.0000
1952.0000	5760.0000	  0.0234	  0.0055	     nan	  0.0000
1984.0000	5760.0000	  0.0296	  0.0090	     nan	  0.0000
2016.0000	5760.0000	  0.0290	  0.0147	     nan	  0.0000
2048.0000	5760.0000	  0.0482	  0.0236	     nan	  0.0000
 32.0000	5728.0000	  0.0006	 -0.0063	     nan	  0.0000
 64.0000	5728.0000	  0.0004	 -0.0060	     nan	  0.0000
 96.0000	5728.0000	 -0.0015	 -0.0049	     nan	  0.0000
128.0000	5728.0000	 -0.0073	 -0.0020	     nan	  0.0000
160.0000	5728.0000	 -0.0132	  0.0010	     nan	  0.0000
192.0000	5728.0000	 -0.0182	  0.0038	     nan	  0.0000
224.0000	5728.0000	 -0.0246	  0.0072	     nan	  0.0000
256.0000	5728.0000	 -0.0247	  0.0079	     nan	  0.0000
288.0000	5728.0000	 -0.0171	  0.0058	     nan	  0.0000
320.0000	5728.0000	 -0.0127	  0.0041	     nan	  0.0000
