# x	y	u	v	s2n	mask
 32.0000	5760.0000	  0.0008	 -0.0005	     nan	  0.0000
 64.0000	5760.0000	  0.0011	 -0.0007	     nan	  0.0000
 96.0000	5760.0000	  0.0022	 -0.0021	     nan	  0.0000
128.0000	5760.0000	  0.0052	 -0.0058	     nan	  0.0000
160.0000	5760.0000	  0.0073	 -0.0085	     nan	  0.0000
192.0000	5760.0000	  0.0078	 -0.0093	     nan	  0.0000
224.0000	5760.0000	  0.0080	 -0.0096	     nan	  0.0000
256.0000	5760.0000	  0.0073	 -0.0089	     nan	  0.0000
288.0000	5760.0000	  0.0051	 -0.0071	     nan	  0.0000
320.0000	5760.0000	  0.0029	 -0.0054	     nan	  0.0000
352.0000	5760.0000	 -0.0011	 -0.0036	     nan	  0.0000
384.0000	5760.0000	 -0.0085	 -0.0011	     nan	  0.0000
416.0000	5760.0000	 -0.0107	  0.0026	     nan	  0.0000
448.0000	5760.0000	 -0.0100	  0.0041	     nan	  0.0000
480.0000	5760.0000	 -0.0073	  0.0045	     nan	  0.0000
512.0000	5760.0000	 -0.0051	  0.0042	     nan	  0.0000
544.0000	5760.0000	 -0.0035	  0.0037	     nan	  0.0000
576.0000	5760.0000	 -0.0023	  0.0035	     nan	  0.0000
608.0000	5760.0000	 -0.0013	  0.0034	     nan	  0.0000
640.0000	5760.0000	 -0.0006	  0.0034	     nan	  0.0000
672.0000	5760.0000	 -0.0005	  0.0034	     nan	  0.0000
704.0000	5760.0000	 -0.0010	  0.0033	     nan	  0.0000
736.0000	5760.0000	 -0.0020	  0.0033	     nan	  0.0000
768.0000	5760.0000	 -0.0031	  0.0034	     nan	  0.0000
800.0000	5760.0000	 -0.0042	  0.0035	     nan	  0.0000
832.0000	5760.0000	 -0.0053	  0.0035	     nan	  0.0000
864.0000	5760.0000	 -0.0065	  0.0034	     nan	  0.0000
896.0000	5760.0000	 -0.0076	  0.0031	     nan	  0.0000
928.0000	5760.0000	 -0.0087	  0.0029	     nan	  0.0000
960.0000	5760.0000	 -0.0097	  0.0025	     nan	  0.0000
992.0000	5760.0000	 -0.0107	  0.0021	     nan	  0.0000
1024.0000	5760.0000	 -0.0117	  0.0016	     nan	  0.0000
1056.0000	5760.0000	 -0.0127	  0.0012	     nan	  0.0000
1088.0000	5760.0000	 -0.0136	  0.0009	     nan	  0.0000
1120.0000	5760.0000	 -0.0142	  0.0006	     nan	  0.0000
1152.0000	5760.0000	 -0.0148	  0.0004	     nan	  0.0000
1184.0000	5760.0000	 -0.0151	  0.0001	     nan	  0.0000
1216.0000	5760.0000	 -0.0150	 -0.0004	     nan	  0.0000
1248.0000	5760.0000	 -0.0145	 -0.0012	     nan	  0.0000
1280.0000	5760.0000	 -0.0139	 -0.0023	     nan	  0.0000
1312.0000	5760.0000	 -0.0133	 -0.0036	     nan	  0.0000
1344.0000	5760.0000	 -0.0130	 -0.0048	     nan	  0.0000
1376.0000	5760.0000	 -0.0130	 -0.0058	     nan	  0.0000
1408.0000	5760.0000	 -0.0135	 -0.0063	     nan	  0.0000
1440.0000	5760.0000	 -0.0146	 -0.0055	     nan	  0.0000
1472.0000	5760.0000	 -0.0167	 -0.0033	     nan	  0.0000
1504.0000	5760.0000	 -0.0189	 -0.0005	     nan	  0.0000
1536.0000	5760.0000	 -0.0203	  0.0020	     nan	  0.0000
1568.0000	5760.0000	 -0.0212	  0.0038	     nan	  0.0000
1600.0000	5760.0000	 -0.0218	  0.0040	     nan	  0.0000
1632.0000	5760.0000	 -0.0214	  0.0025	     nan	  0.0000
1664.0000	5760.0000	 -0.0196	 -0.0033	     nan	  0.0000
1696.0000	5760.0000	 -0.0168	 -0.0147	     nan	  0.0000
1728.0000	5760.0000	 -0.0129	 -0.0240	     nan	  0.0000
1760.0000	5760.0000	 -0.0104	 -0.0357	     nan	  0.0000
1792.0000	5760.0000	 -0.0102	 -0.0564	     nan	  0.0000
1824.0000	5760.0000	 -0.0143	 -0.0816	     nan	  0.0000
1856.0000	5760.0000	 -0.0219	 -0.0932	     nan	  0.0000
1888.0000	5760.0000	 -0.0204	 -0.0691	     nan	  0.0000
1920.0000	5760.0000	  0.0020	 -0.0040	     nan	  0.0000
1952.0000	5760.0000	 -0.0007	  0.0162	     nan	  0.0000
1984.0000	5760.0000	 -0.0100	 -0.0030	     nan	  0.0000
2016.0000	5760.0000	  0.0057	 -0.0378	     nan	  0.0000
2048.0000	5760.0000	  0.0167	 -0.0440	     nan	  0.0000
 32.0000	5728.0000	 -0.0037	 -0.0001	     nan	  0.0000
 64.0000	5728.0000	 -0.0030	 -0.0003	     nan	  0.0000
 96.0000	5728.0000	 -0.0016	 -0.0011	     nan	  0.0000
128.0000	5728.0000	  0.0012	 -0.0037	     nan	  0.0000
160.0000	5728.0000	  0.0038	 -0.0061	     nan	  0.0000
192.0000	5728.0000	  0.0059	 -0.0082	     nan	  0.0000
224.0000	5728.0000	  0.0085	 -0.0108	     nan	  0.0000
256.0000	5728.0000	  0.0083	 -0.0104	     nan	  0.0000
288.0000	5728.0000	  0.0055	 -0.0069	     nan	  0.0000
320.0000	5728.0000	  0.0036	 -0.0044	     nan	  0.0000
352.0000	5728.0000	  0.0014	 -0.0029	     nan	  0.0000
384.0000	5728.0000	 -0.0026	 -0.0015	     nan	  0.0000
416.0000	5728.0000	 -0.0046	  0.0003	     nan	  0.0000
448.0000	5728.0000	 -0.0050	  0.0017	     nan	  0.0000
480.0000	5728.0000	 -0.0042	  0.0024	     nan	  0.0000
512.0000	5728.0000	 -0.0033	  0.0027	     nan	  0.0000
544.0000	5728.0000	 -0.0026	  0.0028	     nan	  0.0000
576.0000	5728.0000	 -0.0021	  0.0029	     nan	  0.0000
608.0000	5728.0000	 -0.0016	  0.0031	     nan	  0.0000
640.0000	5728.0000	 -0.0013	  0.0033	     nan	  0.0000
672.0000	5728.0000	 -0.0016	  0.0034	     nan	  0.0000
704.0000	5728.0000	 -0.0024	  0.0034	     nan	  0.0000
736.0000	5728.0000	 -0.0037	  0.0035	     nan	  0.0000
768.0000	5728.0000	 -0.0052	  0.0036	     nan	  0.0000
800.0000	5728.0000	 -0.0068	  0.0037	     nan	  0.0000
832.0000	5728.0000	 -0.0083	  0.0037	     nan	  0.0000
864.0000	5728.0000	 -0.0098	  0.0036	     nan	  0.0000
896.0000	5728.0000	 -0.0112	  0.0034	     nan	  0.0000
928.0000	5728.0000	 -0.0125	  0.0032	     nan	  0.0000
960.0000	5728.0000	 -0.0134	  0.0028	     nan	  0.0000
992.0000	5728.0000	 -0.0143	  0.0024	     nan	  0.0000
1024.0000	5728.0000	 -0.0150	  0.0020	     nan	  0.0000
1056.0000	5728.0000	 -0.0156	  0.0015	     nan	  0.0000
1088.0000	5728.0000	 -0.0161	  0.0012	     nan	  0.0000
1120.0000	5728.0000	 -0.0164	  0.0009	     nan	  0.0000
1152.0000	5728.0000	 -0.0165	  0.0006	     nan	  0.0000
1184.0000	5728.0000	 -0.0165	  0.0003	     nan	  0.0000
1216.0000	5728.0000	 -0.0163	 -0.0003	     nan	  0.0000
1248.0000	5728.0000	 -0.0157	 -0.0011	     nan	  0.0000
1280.0000	5728.0000	 -0.0151	 -0.0023	     nan	  0.0000
1312.0000	5728.0000	 -0.0146	 -0.0039	     nan	  0.0000
1344.0000	5728.0000	 -0.0143	 -0.0055	     nan	  0.0000
1376.0000	5728.0000	 -0.0145	 -0.0071	     nan	  0.0000
1408.0000	5728.0000	 -0.0153	 -0.0082	     nan	  0.0000
1440.0000	5728.0000	 -0.0161	 -0.0076	     nan	  0.0000
1472.0000	5728.0000	 -0.0177	 -0.0057	     nan	  0.0000
1504.0000	5728.0000	 -0.0193	 -0.0029	     nan	  0.0000
1536.0000	5728.0000	 -0.0204	  0.0004	     nan	  0.0000
1568.0000	5728.0000	 -0.0212	  0.0034	     nan	  0.0000
1600.0000	5728.0000	 -0.0211	  0.0044	     nan	  0.0000
1632.0000	5728.0000	 -0.0193	  0.0017	     nan	  0.0000
1664.0000	5728.0000	 -0.0178	 -0.0065	     nan	  0.0000
1696.0000	5728.0000	 -0.0168	 -0.0226	     nan	  0.0000
1728.0000	5728.0000	 -0.0121	 -0.0288	     nan	  0.0000
1760.0000	5728.0000	 -0.0076	 -0.0347	     nan	  0.0000
1792.0000	5728.0000	 -0.0070	 -0.0363	     nan	  0.0000
1824.0000	5728.0000	 -0.0107	 -0.0076	     nan	  0.0000
1856.0000	5728.0000	 -0.0211	  0.0047	     nan	  0.0000
1888.0000	5728.0000	 -0.0227	 -0.0178	     nan	  0.0000
1920.0000	5728.0000	 -0.0200	 -0.0621	     nan	  0.0000
1952.0000	5728.0000	 -0.0396	 -0.0545	     nan	  0.0000
1984.0000	5728.0000	 -0.0640	 -0.0351	     nan	  0.0000
2016.0000	5728.0000	  0.0095	 -0.0426	     nan	  0.0000
2048.0000	5728.0000	  0.0573	  0.0053	     nan	  0.0000
 32.0000	5696.0000	 -0.0054	 -0.0003	     nan	  0.0000
 64.0000	5696.0000	 -0.0048	 -0.0003	     nan	  0.0000
 96.0000	5696.0000	 -0.0034	 -0.0006	     nan	  0.0000
128.0000	5696.0000	 -0.0008	 -0.0021	     nan	  0.0000
160.0000	5696.0000	  0.0019	 -0.0041	     nan	  0.0000
192.0000	5696.0000	  0.0056	 -0.0078	     nan	  0.0000
224.0000	5696.0000	  0.0124	 -0.0152	     nan	  0.0000
256.0000	5696.0000	  0.0131	 -0.0163	     nan	  0.0000
288.0000	5696.0000	  0.0100	 -0.0125	     nan	  0.0000
320.0000	5696.0000	  0.0076	 -0.0093	     nan	  0.0000
352.0000	5696.0000	  0.0057	 -0.0074	     nan	  0.0000
384.0000	5696.0000	  0.0031	 -0.0061	     nan	  0.0000
416.0000	5696.0000	  0.0010	 -0.0043	     nan	  0.0000
448.0000	5696.0000	 -0.0007	 -0.0023	     nan	  0.0000
480.0000	5696.0000	 -0.0015	 -0.0006	     nan	  0.0000
512.0000	5696.0000	 -0.0019	  0.0007	     nan	  0.0000
544.0000	5696.0000	 -0.0022	  0.0015	     nan	  0.0000
576.0000	5696.0000	 -0.0025	  0.0021	     nan	  0.0000
608.0000	5696.0000	 -0.0026	  0.0027	     nan	  0.0000
640.0000	5696.0000	 -0.0029	  0.0032	     nan	  0.0000
672.0000	5696.0000	 -0.0036	  0.0036	     nan	  0.0000
704.0000	5696.0000	 -0.0049	  0.0038	     nan	  0.0000
736.0000	5696.0000	 -0.0067	  0.0039	     nan	  0.0000
768.0000	5696.0000	 -0.0087	  0.0041	     nan	  0.0000
800.0000	5696.0000	 -0.0108	  0.0043	     nan	  0.0000
832.0000	5696.0000	 -0.0128	  0.0043	     nan	  0.0000
864.0000	5696.0000	 -0.0147	  0.0042	     nan	  0.0000
896.0000	5696.0000	 -0.0165	  0.0040	     nan	  0.0000
928.0000	5696.0000	 -0.0180	  0.0037	     nan	  0.0000
960.0000	5696.0000	 -0.0190	  0.0034	     nan	  0.0000
992.0000	5696.0000	 -0.0196	  0.0030	     nan	  0.0000
1024.0000	5696.0000	 -0.0201	  0.0026	     nan	  0.0000
1056.0000	5696.0000	 -0.0201	  0.0021	     nan	  0.0000
1088.0000	5696.0000	 -0.0200	  0.0018	     nan	  0.0000
1120.0000	5696.0000	 -0.0197	  0.0014	     nan	  0.0000
1152.0000	5696.0000	 -0.0193	  0.0010	     nan	  0.0000
1184.0000	5696.0000	 -0.0189	  0.0006	     nan	  0.0000
1216.0000	5696.0000	 -0.0185	  0.0000	     nan	  0.0000
1248.0000	5696.0000	 -0.0179	 -0.0009	     nan	  0.0000
1280.0000	5696.0000	 -0.0175	 -0.0022	     nan	  0.0000
1312.0000	5696.0000	 -0.0171	 -0.0041	     nan	  0.0000
1344.0000	5696.0000	 -0.0164	 -0.0059	     nan	  0.0000
1376.0000	5696.0000	 -0.0162	 -0.0079	     nan	  0.0000
1408.0000	5696.0000	 -0.0166	 -0.0095	     nan	  0.0000
1440.0000	5696.0000	 -0.0169	 -0.0093	     nan	  0.0000
1472.0000	5696.0000	 -0.0182	 -0.0079	     nan	  0.0000
1504.0000	5696.0000	 -0.0193	 -0.0046	     nan	  0.0000
1536.0000	5696.0000	 -0.0200	  0.0022	     nan	  0.0000
1568.0000	5696.0000	 -0.0217	  0.0082	     nan	  0.0000
1600.0000	5696.0000	 -0.0200	  0.0096	     nan	  0.0000
1632.0000	5696.0000	 -0.0142	  0.0042	     nan	  0.0000
1664.0000	5696.0000	 -0.0117	 -0.0008	     nan	  0.0000
1696.0000	5696.0000	 -0.0133	 -0.0051	     nan	  0.0000
1728.0000	5696.0000	 -0.0092	  0.0042	     nan	  0.0000
1760.0000	5696.0000	 -0.0028	 -0.0006	     nan	  0.0000
1792.0000	5696.0000	 -0.0049	 -0.0131	     nan	  0.0000
1824.0000	5696.0000	 -0.0083	  0.0135	     nan	  0.0000
1856.0000	5696.0000	 -0.0183	 -0.0163	     nan	  0.0000
1888.0000	5696.0000	 -0.0292	 -0.1859	     nan	  0.0000
1920.0000	5696.0000	 -0.0602	 -0.4522	     nan	  0.0000
1952.0000	5696.0000	 -0.1061	 -0.3691	     nan	  0.0000
1984.0000	5696.0000	 -0.1760	 -0.1331	     nan	  0.0000
2016.0000	5696.0000	  0.0099	  0.0295	     nan	  0.0000
2048.0000	5696.0000	  0.0969	  0.3472	     nan	  0.0000
 32.0000	5664.0000	 -0.0062	 -0.0006	     nan	  0.0000
 64.0000	5664.0000	 -0.0057	 -0.0005	     nan	  0.0000
 96.0000	5664.0000	 -0.0044	 -0.0004	     nan	  0.0000
128.0000	5664.0000	 -0.0013	 -0.0006	     nan	  0.0000
160.0000	5664.0000	  0.0005	 -0.0014	     nan	  0.0000
192.0000	5664.0000	  0.0030	 -0.0038	     nan	  0.0000
224.0000	5664.0000	  0.0076	 -0.0090	     nan	  0.0000
256.0000	5664.0000	  0.0092	 -0.0112	     nan	  0.0000
288.0000	5664.0000	  0.0082	 -0.0102	     nan	  0.0000
320.0000	5664.0000	  0.0071	 -0.0087	     nan	  0.0000
352.0000	5664.0000	  0.0060	 -0.0079	     nan	  0.0000
384.0000	5664.0000	  0.0043	 -0.0071	     nan	  0.0000
416.0000	5664.0000	  0.0025	 -0.0059	     nan	  0.0000
448.0000	5664.0000	  0.0004	 -0.0039	     nan	  0.0000
480.0000	5664.0000	 -0.0012	 -0.0020	     nan	  0.0000
512.0000	5664.0000	 -0.0023	 -0.0004	     nan	  0.0000
544.0000	5664.0000	 -0.0032	  0.0008	     nan	  0.0000
576.0000	5664.0000	 -0.0040	  0.0018	     nan	  0.0000
608.0000	5664.0000	 -0.0047	  0.0027	     nan	  0.0000
640.0000	5664.0000	 -0.0056	  0.0034	     nan	  0.0000
672.0000	5664.0000	 -0.0067	  0.0040	     nan	  0.0000
704.0000	5664.0000	 -0.0085	  0.0044	     nan	  0.0000
736.0000	5664.0000	 -0.0108	  0.0047	     nan	  0.0000
768.0000	5664.0000	 -0.0133	  0.0049	     nan	  0.0000
800.0000	5664.0000	 -0.0161	  0.0051	     nan	  0.0000
832.0000	5664.0000	 -0.0189	  0.0051	     nan	  0.0000
864.0000	5664.0000	 -0.0214	  0.0050	     nan	  0.0000
896.0000	5664.0000	 -0.0237	  0.0048	     nan	  0.0000
928.0000	5664.0000	 -0.0255	  0.0045	     nan	  0.0000
960.0000	5664.0000	 -0.0266	  0.0042	     nan	  0.0000
992.0000	5664.0000	 -0.0271	  0.0038	     nan	  0.0000
1024.0000	5664.0000	 -0.0272	  0.0034	     nan	  0.0000
1056.0000	5664.0000	 -0.0266	  0.0029	     nan	  0.0000
1088.0000	5664.0000	 -0.0258	  0.0025	     nan	  0.0000
1120.0000	5664.0000	 -0.0248	  0.0021	     nan	  0.0000
1152.0000	5664.0000	 -0.0237	  0.0016	     nan	  0.0000
1184.0000	5664.0000	 -0.0227	  0.0010	     nan	  0.0000
1216.0000	5664.0000	 -0.0221	  0.0004	     nan	  0.0000
1248.0000	5664.0000	 -0.0213	 -0.0004	     nan	  0.0000
1280.0000	5664.0000	 -0.0209	 -0.0015	     nan	  0.0000
1312.0000	5664.0000	 -0.0204	 -0.0033	     nan	  0.0000
1344.0000	5664.0000	 -0.0191	 -0.0056	     nan	  0.0000
1376.0000	5664.0000	 -0.0183	 -0.0086	     nan	  0.0000
1408.0000	5664.0000	 -0.0178	 -0.0115	     nan	  0.0000
1440.0000	5664.0000	 -0.0170	 -0.0120	     nan	  0.0000
1472.0000	5664.0000	 -0.0191	 -0.0114	     nan	  0.0000
1504.0000	5664.0000	 -0.0201	 -0.0074	     nan	  0.0000
1536.0000	5664.0000	 -0.0186	  0.0072	     nan	  0.0000
1568.0000	5664.0000	 -0.0211	  0.0179	     nan	  0.0000
1600.0000	5664.0000	 -0.0167	  0.0175	     nan	  0.0000
1632.0000	5664.0000	 -0.0048	  0.0128	     nan	  0.0000
1664.0000	5664.0000	 -0.0030	  0.0227	     nan	  0.0000
1696.0000	5664.0000	 -0.0125	  0.0365	     nan	  0.0000
1728.0000	5664.0000	 -0.0215	  0.0271	     nan	  0.0000
1760.0000	5664.0000	 -0.0206	 -0.0337	     nan	  0.0000
1792.0000	5664.0000	 -0.0259	 -0.1439	     nan	  0.0000
1824.0000	5664.0000	 -0.0037	 -0.1393	     nan	  0.0000
1856.0000	5664.0000	  0.0063	 -0.2729	     nan	  0.0000
1888.0000	5664.0000	 -0.0090	 -0.7055	     nan	  1.0000
1920.0000	5664.0000	 -0.0767	 -1.4549	     nan	  0.0000
1952.0000	5664.0000	 -0.0670	 -1.1102	     nan	  0.0000
1984.0000	5664.0000	 -0.0483	 -0.3493	     nan	  1.0000
2016.0000	5664.0000	  0.0130	  0.2790	     nan	  1.0000
2048.0000	5664.0000	  0.0460	  1.2971	     nan	  0.0000
 32.0000	5632.0000	 -0.0074	 -0.0005	     nan	  0.0000
 64.0000	5632.0000	 -0.0072	 -0.0002	     nan	  0.0000
 96.0000	5632.0000	 -0.0064	  0.0001	     nan	  0.0000
128.0000	5632.0000	 -0.0045	  0.0002	     nan	  0.0000
160.0000	5632.0000	 -0.0031	  0.0001	     nan	  0.0000
192.0000	5632.0000	 -0.0014	 -0.0010	     nan	  0.0000
224.0000	5632.0000	  0.0015	 -0.0040	     nan	  0.0000
256.0000	5632.0000	  0.0036	 -0.0061	     nan	  0.0000
288.0000	5632.0000	  0.0042	 -0.0066	     nan	  0.0000
320.0000	5632.0000	  0.0043	 -0.0065	     nan	  0.0000
352.0000	5632.0000	  0.0040	 -0.0065	     nan	  0.0000
384.0000	5632.0000	  0.0029	 -0.0064	     nan	  0.0000
416.0000	5632.0000	  0.0014	 -0.0056	     nan	  0.0000
448.0000	5632.0000	 -0.0007	 -0.0040	     nan	  0.0000
480.0000	5632.0000	 -0.0025	 -0.0023	     nan	  0.0000
512.0000	5632.0000	 -0.0040	 -0.0007	     nan	  0.0000
544.0000	5632.0000	 -0.0054	  0.0005	     nan	  0.0000
576.0000	5632.0000	 -0.0066	  0.0017	     nan	  0.0000
608.0000	5632.0000	 -0.0078	  0.0028	     nan	  0.0000
640.0000	5632.0000	 -0.0091	  0.0038	     nan	  0.0000
672.0000	5632.0000	 -0.0109	  0.0046	     nan	  0.0000
704.0000	5632.0000	 -0.0133	  0.0051	     nan	  0.0000
736.0000	5632.0000	 -0.0164	  0.0056	     nan	  0.0000
768.0000	5632.0000	 -0.0199	  0.0060	     nan	  0.0000
800.0000	5632.0000	 -0.0237	  0.0062	     nan	  0.0000
832.0000	5632.0000	 -0.0277	  0.0063	     nan	  0.0000
864.0000	5632.0000	 -0.0313	  0.0062	     nan	  0.0000
896.0000	5632.0000	 -0.0344	  0.0060	     nan	  0.0000
928.0000	5632.0000	 -0.0369	  0.0058	     nan	  0.0000
960.0000	5632.0000	 -0.0382	  0.0054	     nan	  0.0000
992.0000	5632.0000	 -0.0388	  0.0050	     nan	  0.0000
1024.0000	5632.0000	 -0.0386	  0.0046	     nan	  0.0000
1056.0000	5632.0000	 -0.0372	  0.0042	     nan	  0.0000
1088.0000	5632.0000	 -0.0355	  0.0039	     nan	  0.0000
1120.0000	5632.0000	 -0.0337	  0.0034	     nan	  0.0000
1152.0000	5632.0000	 -0.0311	  0.0028	     nan	  0.0000
1184.0000	5632.0000	 -0.0291	  0.0021	     nan	  0.0000
1216.0000	5632.0000	 -0.0275	  0.0012	     nan	  0.0000
1248.0000	5632.0000	 -0.0257	  0.0004	     nan	  0.0000
1280.0000	5632.0000	 -0.0253	 -0.0005	     nan	  0.0000
1312.0000	5632.0000	 -0.0255	 -0.0022	     nan	  0.0000
1344.0000	5632.0000	 -0.0232	 -0.0049	     nan	  0.0000
1376.0000	5632.0000	 -0.0211	 -0.0098	     nan	  0.0000
1408.0000	5632.0000	 -0.0184	 -0.0156	     nan	  0.0000
1440.0000	5632.0000	 -0.0125	 -0.0160	     nan	  0.0000
1472.0000	5632.0000	 -0.0161	 -0.0175	     nan	  0.0000
1504.0000	5632.0000	 -0.0167	 -0.0140	     nan	  0.0000
1536.0000	5632.0000	 -0.0006	  0.0059	     nan	  0.0000
1568.0000	5632.0000	  0.0045	  0.0096	     nan	  0.0000
1600.0000	5632.0000	  0.0007	  0.0088	     nan	  0.0000
1632.0000	5632.0000	 -0.0258	  0.0405	     nan	  0.0000
1664.0000	5632.0000	 -0.0452	  0.0862	     nan	  0.0000
1696.0000	5632.0000	 -0.0451	  0.0898	     nan	  0.0000
1728.0000	5632.0000	 -0.0512	 -0.0140	     nan	  0.0000
1760.0000	5632.0000	 -0.0484	 -0.2124	     nan	  0.0000
1792.0000	5632.0000	 -0.0588	 -0.5395	     nan	  0.0000
1824.0000	5632.0000	  0.0442	 -0.5132	     nan	  1.0000
1856.0000	5632.0000	  0.1086	 -0.7216	     nan	  1.0000
1888.0000	5632.0000	  0.0635	 -1.0222	     nan	  1.0000
1920.0000	5632.0000	  0.0332	 -1.7905	     nan	  0.0000
1952.0000	5632.0000	  0.1638	 -1.1523	     nan	  0.0000
1984.0000	5632.0000	  0.1195	 -0.2921	     nan	  1.0000
2016.0000	5632.0000	  0.0290	  0.3333	     nan	  1.0000
2048.0000	5632.0000	 -0.0238	  1.3811	     nan	  0.0000
 32.0000	5600.0000	 -0.0049	 -0.0017	     nan	  0.0000
 64.0000	5600.0000	 -0.0053	 -0.0014	     nan	  0.0000
 96.0000	5600.0000	 -0.0054	 -0.0009	     nan	  0.0000
128.0000	5600.0000	 -0.0048	 -0.0005	     nan	  0.0000
160.0000	5600.0000	 -0.0044	 -0.0002	     nan	  0.0000
192.0000	5600.0000	 -0.0037	 -0.0005	     nan	  0.0000
224.0000	5600.0000	 -0.0019	 -0.0021	     nan	  0.0000
256.0000	5600.0000	 -0.0003	 -0.0037	     nan	  0.0000
288.0000	5600.0000	  0.0007	 -0.0045	     nan	  0.0000
320.0000	5600.0000	  0.0011	 -0.0049	     nan	  0.0000
352.0000	5600.0000	  0.0009	 -0.0053	     nan	  0.0000
384.0000	5600.0000	  0.0001	 -0.0054	     nan	  0.0000
416.0000	5600.0000	 -0.0013	 -0.0050	     nan	  0.0000
448.0000	5600.0000	 -0.0033	 -0.0037	     nan	  0.0000
480.0000	5600.0000	 -0.0052	 -0.0022	     nan	  0.0000
512.0000	5600.0000	 -0.0070	 -0.0008	     nan	  0.0000
544.0000	5600.0000	 -0.0087	  0.0005	     nan	  0.0000
576.0000	5600.0000	 -0.0104	  0.0018	     nan	  0.0000
608.0000	5600.0000	 -0.0122	  0.0030	     nan	  0.0000
640.0000	5600.0000	 -0.0143	  0.0043	     nan	  0.0000
672.0000	5600.0000	 -0.0168	  0.0053	     nan	  0.0000
704.0000	5600.0000	 -0.0202	  0.0062	     nan	  0.0000
736.0000	5600.0000	 -0.0244	  0.0069	     nan	  0.0000
768.0000	5600.0000	 -0.0291	  0.0075	     nan	  0.0000
800.0000	5600.0000	 -0.0343	  0.0079	     nan	  0.0000
832.0000	5600.0000	 -0.0398	  0.0080	     nan	  0.0000
864.0000	5600.0000	 -0.0447	  0.0080	     nan	  0.0000
896.0000	5600.0000	 -0.0491	  0.0077	     nan	  0.0000
928.0000	5600.0000	 -0.0528	  0.0074	     nan	  0.0000
960.0000	5600.0000	 -0.0547	  0.0071	     nan	  0.0000
992.0000	5600.0000	 -0.0556	  0.0066	     nan	  0.0000
1024.0000	5600.0000	 -0.0555	  0.0063	     nan	  0.0000
1056.0000	5600.0000	 -0.0525	  0.0058	     nan	  0.0000
1088.0000	5600.0000	 -0.0490	  0.0054	     nan	  0.0000
1120.0000	5600.0000	 -0.0453	  0.0050	     nan	  0.0000
1152.0000	5600.0000	 -0.0399	  0.0044	     nan	  0.0000
1184.0000	5600.0000	 -0.0363	  0.0034	     nan	  0.0000
1216.0000	5600.0000	 -0.0333	  0.0016	     nan	  0.0000
1248.0000	5600.0000	 -0.0286	  0.0000	     nan	  0.0000
1280.0000	5600.0000	 -0.0282	 -0.0005	     nan	  0.0000
1312.0000	5600.0000	 -0.0309	 -0.0011	     nan	  0.0000
