# x	y	u	v	s2n	mask
 32.0000	5760.0000	 -0.0038	 -0.0022	     nan	  0.0000
 64.0000	5760.0000	 -0.0044	 -0.0018	     nan	  0.0000
 96.0000	5760.0000	 -0.0044	 -0.0017	     nan	  0.0000
128.0000	5760.0000	 -0.0030	 -0.0021	     nan	  0.0000
160.0000	5760.0000	 -0.0018	 -0.0025	     nan	  0.0000
192.0000	5760.0000	 -0.0009	 -0.0025	     nan	  0.0000
224.0000	5760.0000	 -0.0001	 -0.0024	     nan	  0.0000
256.0000	5760.0000	  0.0004	 -0.0022	     nan	  0.0000
288.0000	5760.0000	  0.0005	 -0.0019	     nan	  0.0000
320.0000	5760.0000	  0.0003	 -0.0020	     nan	  0.0000
352.0000	5760.0000	 -0.0011	 -0.0022	     nan	  0.0000
384.0000	5760.0000	 -0.0044	 -0.0027	     nan	  0.0000
416.0000	5760.0000	 -0.0056	 -0.0037	     nan	  0.0000
448.0000	5760.0000	 -0.0060	 -0.0041	     nan	  0.0000
480.0000	5760.0000	 -0.0065	 -0.0040	     nan	  0.0000
512.0000	5760.0000	 -0.0072	 -0.0041	     nan	  0.0000
544.0000	5760.0000	 -0.0074	 -0.0041	     nan	  0.0000
576.0000	5760.0000	 -0.0060	 -0.0041	     nan	  0.0000
608.0000	5760.0000	 -0.0043	 -0.0041	     nan	  0.0000
640.0000	5760.0000	 -0.0028	 -0.0041	     nan	  0.0000
672.0000	5760.0000	 -0.0015	 -0.0039	     nan	  0.0000
704.0000	5760.0000	 -0.0001	 -0.0034	     nan	  0.0000
736.0000	5760.0000	  0.0009	 -0.0029	     nan	  0.0000
768.0000	5760.0000	  0.0013	 -0.0022	     nan	  0.0000
800.0000	5760.0000	  0.0004	 -0.0013	     nan	  0.0000
832.0000	5760.0000	 -0.0012	 -0.0003	     nan	  0.0000
864.0000	5760.0000	 -0.0033	  0.0009	     nan	  0.0000
896.0000	5760.0000	 -0.0060	  0.0021	     nan	  0.0000
928.0000	5760.0000	 -0.0090	  0.0034	     nan	  0.0000
960.0000	5760.0000	 -0.0122	  0.0045	     nan	  0.0000
992.0000	5760.0000	 -0.0149	  0.0054	     nan	  0.0000
1024.0000	5760.0000	 -0.0171	  0.0060	     nan	  0.0000
1056.0000	5760.0000	 -0.0186	  0.0062	     nan	  0.0000
1088.0000	5760.0000	 -0.0195	  0.0062	     nan	  0.0000
1120.0000	5760.0000	 -0.0197	  0.0058	     nan	  0.0000
1152.0000	5760.0000	 -0.0192	  0.0051	     nan	  0.0000
1184.0000	5760.0000	 -0.0182	  0.0040	     nan	  0.0000
1216.0000	5760.0000	 -0.0167	  0.0026	     nan	  0.0000
1248.0000	5760.0000	 -0.0149	  0.0010	     nan	  0.0000
1280.0000	5760.0000	 -0.0128	 -0.0008	     nan	  0.0000
1312.0000	5760.0000	 -0.0105	 -0.0029	     nan	  0.0000
1344.0000	5760.0000	 -0.0082	 -0.0051	     nan	  0.0000
1376.0000	5760.0000	 -0.0062	 -0.0075	     nan	  0.0000
1408.0000	5760.0000	 -0.0048	 -0.0102	     nan	  0.0000
1440.0000	5760.0000	 -0.0050	 -0.0125	     nan	  0.0000
1472.0000	5760.0000	 -0.0068	 -0.0140	     nan	  0.0000
1504.0000	5760.0000	 -0.0088	 -0.0145	     nan	  0.0000
1536.0000	5760.0000	 -0.0095	 -0.0137	     nan	  0.0000
1568.0000	5760.0000	 -0.0100	 -0.0116	     nan	  0.0000
1600.0000	5760.0000	 -0.0104	 -0.0076	     nan	  0.0000
