# x	y	u	v	s2n	mask
 32.0000	5792.0000	  0.0369	 -0.0012	     nan	  0.0000
 64.0000	5792.0000	  0.0366	 -0.0010	     nan	  0.0000
 96.0000	5792.0000	  0.0358	 -0.0006	     nan	  0.0000
128.0000	5792.0000	  0.0347	 -0.0003	     nan	  0.0000
160.0000	5792.0000	  0.0333	 -0.0003	     nan	  0.0000
192.0000	5792.0000	  0.0316	 -0.0014	     nan	  0.0000
224.0000	5792.0000	  0.0296	 -0.0029	     nan	  0.0000
256.0000	5792.0000	  0.0282	 -0.0053	     nan	  0.0000
288.0000	5792.0000	  0.0282	 -0.0094	     nan	  0.0000
320.0000	5792.0000	  0.0285	 -0.0124	     nan	  0.0000
352.0000	5792.0000	  0.0313	 -0.0161	     nan	  0.0000
384.0000	5792.0000	  0.0392	 -0.0225	     nan	  0.0000
416.0000	5792.0000	  0.0425	 -0.0245	     nan	  0.0000
448.0000	5792.0000	  0.0437	 -0.0249	     nan	  0.0000
480.0000	5792.0000	  0.0458	 -0.0267	     nan	  0.0000
512.0000	5792.0000	  0.0472	 -0.0278	     nan	  0.0000
544.0000	5792.0000	  0.0465	 -0.0268	     nan	  0.0000
576.0000	5792.0000	  0.0409	 -0.0223	     nan	  0.0000
608.0000	5792.0000	  0.0339	 -0.0170	     nan	  0.0000
640.0000	5792.0000	  0.0275	 -0.0121	     nan	  0.0000
672.0000	5792.0000	  0.0222	 -0.0077	     nan	  0.0000
704.0000	5792.0000	  0.0167	 -0.0030	     nan	  0.0000
736.0000	5792.0000	  0.0113	  0.0014	     nan	  0.0000
768.0000	5792.0000	  0.0059	  0.0051	     nan	  0.0000
800.0000	5792.0000	  0.0020	  0.0073	     nan	  0.0000
832.0000	5792.0000	 -0.0006	  0.0085	     nan	  0.0000
864.0000	5792.0000	 -0.0023	  0.0089	     nan	  0.0000
896.0000	5792.0000	 -0.0039	  0.0093	     nan	  0.0000
928.0000	5792.0000	 -0.0054	  0.0094	     nan	  0.0000
960.0000	5792.0000	 -0.0060	  0.0090	     nan	  0.0000
992.0000	5792.0000	 -0.0048	  0.0081	     nan	  0.0000
1024.0000	5792.0000	 -0.0023	  0.0068	     nan	  0.0000
1056.0000	5792.0000	  0.0007	  0.0055	     nan	  0.0000
