# x	y	u	v	s2n	mask
 32.0000	5792.0000	  0.0208	 -0.0031	     nan	  0.0000
 64.0000	5792.0000	  0.0225	 -0.0045	     nan	  0.0000
 96.0000	5792.0000	  0.0254	 -0.0079	     nan	  0.0000
128.0000	5792.0000	  0.0287	 -0.0105	     nan	  0.0000
160.0000	5792.0000	  0.0332	 -0.0124	     nan	  0.0000
192.0000	5792.0000	  0.0387	 -0.0143	     nan	  0.0000
224.0000	5792.0000	  0.0427	 -0.0156	     nan	  0.0000
256.0000	5792.0000	  0.0461	 -0.0166	     nan	  0.0000
288.0000	5792.0000	  0.0492	 -0.0179	     nan	  0.0000
320.0000	5792.0000	  0.0475	 -0.0183	     nan	  0.0000
352.0000	5792.0000	  0.0392	 -0.0192	     nan	  0.0000
384.0000	5792.0000	  0.0215	 -0.0216	     nan	  0.0000
416.0000	5792.0000	  0.0133	 -0.0217	     nan	  0.0000
448.0000	5792.0000	  0.0108	 -0.0218	     nan	  0.0000
480.0000	5792.0000	  0.0095	 -0.0242	     nan	  0.0000
512.0000	5792.0000	  0.0084	 -0.0260	     nan	  0.0000
544.0000	5792.0000	  0.0065	 -0.0252	     nan	  0.0000
576.0000	5792.0000	  0.0027	 -0.0197	     nan	  0.0000
608.0000	5792.0000	 -0.0005	 -0.0136	     nan	  0.0000
640.0000	5792.0000	 -0.0022	 -0.0086	     nan	  0.0000
672.0000	5792.0000	 -0.0019	 -0.0047	     nan	  0.0000
704.0000	5792.0000	 -0.0008	 -0.0007	     nan	  0.0000
736.0000	5792.0000	  0.0005	  0.0028	     nan	  0.0000
768.0000	5792.0000	  0.0026	  0.0054	     nan	  0.0000
800.0000	5792.0000	  0.0062	  0.0058	     nan	  0.0000
832.0000	5792.0000	  0.0104	  0.0052	     nan	  0.0000
864.0000	5792.0000	  0.0147	  0.0042	     nan	  0.0000
896.0000	5792.0000	  0.0188	  0.0032	     nan	  0.0000
928.0000	5792.0000	  0.0229	  0.0021	     nan	  0.0000
960.0000	5792.0000	  0.0263	  0.0008	     nan	  0.0000
992.0000	5792.0000	  0.0286	 -0.0011	     nan	  0.0000
1024.0000	5792.0000	  0.0300	 -0.0032	     nan	  0.0000
1056.0000	5792.0000	  0.0307	 -0.0057	     nan	  0.0000
1088.0000	5792.0000	  0.0302	 -0.0083	     nan	  0.0000
1120.0000	5792.0000	  0.0285	 -0.0110	     nan	  0.0000
1152.0000	5792.0000	  0.0259	 -0.0137	     nan	  0.0000
1184.0000	5792.0000	  0.0238	 -0.0165	     nan	  0.0000
1216.0000	5792.0000	  0.0226	 -0.0191	     nan	  0.0000
1248.0000	5792.0000	  0.0221	 -0.0215	     nan	  0.0000
1280.0000	5792.0000	  0.0219	 -0.0232	     nan	  0.0000
1312.0000	5792.0000	  0.0221	 -0.0243	     nan	  0.0000
1344.0000	5792.0000	  0.0228	 -0.0247	     nan	  0.0000
1376.0000	5792.0000	  0.0236	 -0.0242	     nan	  0.0000
1408.0000	5792.0000	  0.0237	 -0.0227	     nan	  0.0000
1440.0000	5792.0000	  0.0225	 -0.0203	     nan	  0.0000
1472.0000	5792.0000	  0.0197	 -0.0166	     nan	  0.0000
1504.0000	5792.0000	  0.0156	 -0.0119	     nan	  0.0000
1536.0000	5792.0000	  0.0104	 -0.0059	     nan	  0.0000
1568.0000	5792.0000	  0.0084	  0.0009	     nan	  0.0000
1600.0000	5792.0000	  0.0114	  0.0108	     nan	  0.0000
1632.0000	5792.0000	  0.0112	  0.0261	     nan	  0.0000
1664.0000	5792.0000	  0.0157	  0.0420	     nan	  0.0000
1696.0000	5792.0000	  0.0284	  0.0568	     nan	  0.0000
1728.0000	5792.0000	  0.0011	  0.0623	     nan	  0.0000
1760.0000	5792.0000	 -0.0719	  0.0622	     nan	  0.0000
1792.0000	5792.0000	 -0.1557	  0.0578	     nan	  0.0000
1824.0000	5792.0000	 -0.1854	  0.0438	     nan	  0.0000
1856.0000	5792.0000	 -0.1595	  0.0318	     nan	  0.0000
1888.0000	5792.0000	 -0.0447	 -0.0040	     nan	  0.0000
1920.0000	5792.0000	  0.0300	 -0.0290	     nan	  0.0000
1952.0000	5792.0000	  0.0831	 -0.0374	     nan	  0.0000
1984.0000	5792.0000	 -0.0731	 -0.0195	     nan	  0.0000
2016.0000	5792.0000	 -0.7265	  0.0444	     nan	  0.0000
2048.0000	5792.0000	 -1.8860	  0.1316	     nan	  0.0000
