# x	y	u	v	s2n	mask
 32.0000	5792.0000	 -0.0329	  0.0043	     nan	  0.0000
 64.0000	5792.0000	 -0.0342	  0.0044	     nan	  0.0000
 96.0000	5792.0000	 -0.0389	  0.0051	     nan	  0.0000
128.0000	5792.0000	 -0.0422	  0.0055	     nan	  0.0000
160.0000	5792.0000	 -0.0427	  0.0045	     nan	  0.0000
192.0000	5792.0000	 -0.0386	  0.0005	     nan	  0.0000
224.0000	5792.0000	 -0.0320	 -0.0045	     nan	  0.0000
256.0000	5792.0000	 -0.0223	 -0.0109	     nan	  0.0000
288.0000	5792.0000	 -0.0081	 -0.0194	     nan	  0.0000
320.0000	5792.0000	  0.0002	 -0.0226	     nan	  0.0000
352.0000	5792.0000	  0.0028	 -0.0191	     nan	  0.0000
384.0000	5792.0000	  0.0006	 -0.0071	     nan	  0.0000
416.0000	5792.0000	 -0.0009	 -0.0017	     nan	  0.0000
448.0000	5792.0000	 -0.0008	  0.0001	     nan	  0.0000
480.0000	5792.0000	  0.0007	  0.0021	     nan	  0.0000
512.0000	5792.0000	  0.0010	  0.0038	     nan	  0.0000
544.0000	5792.0000	  0.0020	  0.0038	     nan	  0.0000
576.0000	5792.0000	  0.0071	  0.0008	     nan	  0.0000
608.0000	5792.0000	  0.0132	 -0.0031	     nan	  0.0000
640.0000	5792.0000	  0.0181	 -0.0064	     nan	  0.0000
672.0000	5792.0000	  0.0214	 -0.0093	     nan	  0.0000
704.0000	5792.0000	  0.0239	 -0.0122	     nan	  0.0000
736.0000	5792.0000	  0.0261	 -0.0147	     nan	  0.0000
768.0000	5792.0000	  0.0269	 -0.0160	     nan	  0.0000
800.0000	5792.0000	  0.0254	 -0.0157	     nan	  0.0000
832.0000	5792.0000	  0.0223	 -0.0143	     nan	  0.0000
864.0000	5792.0000	  0.0179	 -0.0120	     nan	  0.0000
896.0000	5792.0000	  0.0124	 -0.0092	     nan	  0.0000
928.0000	5792.0000	  0.0059	 -0.0057	     nan	  0.0000
960.0000	5792.0000	 -0.0011	 -0.0020	     nan	  0.0000
992.0000	5792.0000	 -0.0082	  0.0017	     nan	  0.0000
1024.0000	5792.0000	 -0.0149	  0.0051	     nan	  0.0000
1056.0000	5792.0000	 -0.0208	  0.0079	     nan	  0.0000
1088.0000	5792.0000	 -0.0250	  0.0098	     nan	  0.0000
1120.0000	5792.0000	 -0.0269	  0.0106	     nan	  0.0000
1152.0000	5792.0000	 -0.0270	  0.0104	     nan	  0.0000
1184.0000	5792.0000	 -0.0258	  0.0095	     nan	  0.0000
1216.0000	5792.0000	 -0.0237	  0.0082	     nan	  0.0000
1248.0000	5792.0000	 -0.0208	  0.0066	     nan	  0.0000
1280.0000	5792.0000	 -0.0176	  0.0050	     nan	  0.0000
1312.0000	5792.0000	 -0.0149	  0.0040	     nan	  0.0000
1344.0000	5792.0000	 -0.0133	  0.0034	     nan	  0.0000
1376.0000	5792.0000	 -0.0127	  0.0033	     nan	  0.0000
1408.0000	5792.0000	 -0.0129	  0.0030	     nan	  0.0000
1440.0000	5792.0000	 -0.0142	  0.0020	     nan	  0.0000
1472.0000	5792.0000	 -0.0169	 -0.0007	     nan	  0.0000
1504.0000	5792.0000	 -0.0211	 -0.0059	     nan	  0.0000
1536.0000	5792.0000	 -0.0264	 -0.0129	     nan	  0.0000
1568.0000	5792.0000	 -0.0368	 -0.0225	     nan	  0.0000
1600.0000	5792.0000	 -0.0521	 -0.0376	     nan	  0.0000
1632.0000	5792.0000	 -0.0708	 -0.0617	     nan	  0.0000
1664.0000	5792.0000	 -0.0904	 -0.0892	     nan	  0.0000
1696.0000	5792.0000	 -0.1044	 -0.1187	     nan	  0.0000
1728.0000	5792.0000	 -0.1215	 -0.1440	     nan	  0.0000
1760.0000	5792.0000	 -0.1469	 -0.1774	     nan	  0.0000
1792.0000	5792.0000	 -0.0972	 -0.1835	     nan	  0.0000
1824.0000	5792.0000	 -0.0554	 -0.1182	     nan	  0.0000
1856.0000	5792.0000	 -0.0379	 -0.0518	     nan	  0.0000
1888.0000	5792.0000	  0.0452	  0.0392	     nan	  0.0000
1920.0000	5792.0000	  0.1238	  0.0719	     nan	  0.0000
1952.0000	5792.0000	  0.1103	  0.0796	     nan	  0.0000
1984.0000	5792.0000	  0.0651	  0.0154	     nan	  0.0000
2016.0000	5792.0000	 -0.0074	 -0.0570	     nan	  0.0000
2048.0000	5792.0000	 -0.0913	 -0.1536	     nan	  0.0000
 32.0000	5760.0000	 -0.0259	  0.0112	     nan	  0.0000
