# x	y	u	v	s2n	mask
 32.0000	5792.0000	 -0.0105	 -0.0040	     nan	  0.0000
 64.0000	5792.0000	 -0.0126	 -0.0038	     nan	  0.0000
 96.0000	5792.0000	 -0.0183	 -0.0026	     nan	  0.0000
128.0000	5792.0000	 -0.0226	 -0.0018	     nan	  0.0000
160.0000	5792.0000	 -0.0251	 -0.0020	     nan	  0.0000
192.0000	5792.0000	 -0.0260	 -0.0035	     nan	  0.0000
224.0000	5792.0000	 -0.0254	 -0.0051	     nan	  0.0000
256.0000	5792.0000	 -0.0229	 -0.0072	     nan	  0.0000
288.0000	5792.0000	 -0.0175	 -0.0103	     nan	  0.0000
320.0000	5792.0000	 -0.0114	 -0.0111	     nan	  0.0000
352.0000	5792.0000	 -0.0025	 -0.0099	     nan	  0.0000
384.0000	5792.0000	  0.0123	 -0.0070	     nan	  0.0000
416.0000	5792.0000	  0.0171	 -0.0057	     nan	  0.0000
448.0000	5792.0000	  0.0154	 -0.0060	     nan	  0.0000
480.0000	5792.0000	  0.0089	 -0.0079	     nan	  0.0000
512.0000	5792.0000	  0.0034	 -0.0092	     nan	  0.0000
544.0000	5792.0000	  0.0005	 -0.0097	     nan	  0.0000
576.0000	5792.0000	  0.0003	 -0.0101	     nan	  0.0000
608.0000	5792.0000	 -0.0004	 -0.0104	     nan	  0.0000
640.0000	5792.0000	 -0.0020	 -0.0097	     nan	  0.0000
672.0000	5792.0000	 -0.0052	 -0.0061	     nan	  0.0000
704.0000	5792.0000	 -0.0077	 -0.0014	     nan	  0.0000
736.0000	5792.0000	 -0.0091	  0.0032	     nan	  0.0000
768.0000	5792.0000	 -0.0099	  0.0073	     nan	  0.0000
800.0000	5792.0000	 -0.0113	  0.0115	     nan	  0.0000
832.0000	5792.0000	 -0.0128	  0.0156	     nan	  0.0000
864.0000	5792.0000	 -0.0139	  0.0191	     nan	  0.0000
896.0000	5792.0000	 -0.0138	  0.0210	     nan	  0.0000
928.0000	5792.0000	 -0.0132	  0.0216	     nan	  0.0000
960.0000	5792.0000	 -0.0128	  0.0214	     nan	  0.0000
992.0000	5792.0000	 -0.0130	  0.0203	     nan	  0.0000
1024.0000	5792.0000	 -0.0136	  0.0184	     nan	  0.0000
1056.0000	5792.0000	 -0.0142	  0.0157	     nan	  0.0000
1088.0000	5792.0000	 -0.0142	  0.0123	     nan	  0.0000
1120.0000	5792.0000	 -0.0138	  0.0085	     nan	  0.0000
1152.0000	5792.0000	 -0.0131	  0.0047	     nan	  0.0000
1184.0000	5792.0000	 -0.0120	  0.0015	     nan	  0.0000
1216.0000	5792.0000	 -0.0107	 -0.0009	     nan	  0.0000
1248.0000	5792.0000	 -0.0089	 -0.0024	     nan	  0.0000
1280.0000	5792.0000	 -0.0071	 -0.0032	     nan	  0.0000
1312.0000	5792.0000	 -0.0054	 -0.0033	     nan	  0.0000
1344.0000	5792.0000	 -0.0042	 -0.0027	     nan	  0.0000
1376.0000	5792.0000	 -0.0033	 -0.0018	     nan	  0.0000
1408.0000	5792.0000	 -0.0029	 -0.0009	     nan	  0.0000
1440.0000	5792.0000	 -0.0029	 -0.0003	     nan	  0.0000
1472.0000	5792.0000	 -0.0031	 -0.0003	     nan	  0.0000
1504.0000	5792.0000	 -0.0033	 -0.0011	     nan	  0.0000
1536.0000	5792.0000	 -0.0034	 -0.0027	     nan	  0.0000
1568.0000	5792.0000	 -0.0018	 -0.0052	     nan	  0.0000
1600.0000	5792.0000	  0.0017	 -0.0087	     nan	  0.0000
1632.0000	5792.0000	  0.0079	 -0.0119	     nan	  0.0000
1664.0000	5792.0000	  0.0162	 -0.0139	     nan	  0.0000
1696.0000	5792.0000	  0.0223	 -0.0144	     nan	  0.0000
1728.0000	5792.0000	  0.0247	 -0.0135	     nan	  0.0000
1760.0000	5792.0000	  0.0246	 -0.0125	     nan	  0.0000
1792.0000	5792.0000	  0.0208	 -0.0127	     nan	  0.0000
1824.0000	5792.0000	  0.0183	 -0.0140	     nan	  0.0000
1856.0000	5792.0000	  0.0211	 -0.0148	     nan	  0.0000
1888.0000	5792.0000	  0.0231	 -0.0054	     nan	  0.0000
1920.0000	5792.0000	 -0.0127	  0.0076	     nan	  0.0000
1952.0000	5792.0000	 -0.0069	  0.0220	     nan	  0.0000
1984.0000	5792.0000	  0.0305	  0.0411	     nan	  0.0000
2016.0000	5792.0000	  0.0355	  0.0634	     nan	  0.0000
2048.0000	5792.0000	  0.0157	  0.0919	     nan	  0.0000
 32.0000	5760.0000	 -0.0067	  0.0056	     nan	  0.0000
 64.0000	5760.0000	 -0.0085	  0.0046	     nan	  0.0000
 96.0000	5760.0000	 -0.0131	  0.0036	     nan	  0.0000
128.0000	5760.0000	 -0.0173	  0.0028	     nan	  0.0000
160.0000	5760.0000	 -0.0217	  0.0014	     nan	  0.0000
192.0000	5760.0000	 -0.0266	 -0.0005	     nan	  0.0000
224.0000	5760.0000	 -0.0276	 -0.0027	     nan	  0.0000
256.0000	5760.0000	 -0.0248	 -0.0062	     nan	  0.0000
288.0000	5760.0000	 -0.0174	 -0.0130	     nan	  0.0000
320.0000	5760.0000	 -0.0121	 -0.0146	     nan	  0.0000
352.0000	5760.0000	 -0.0065	 -0.0133	     nan	  0.0000
384.0000	5760.0000	  0.0019	 -0.0105	     nan	  0.0000
416.0000	5760.0000	  0.0065	 -0.0089	     nan	  0.0000
448.0000	5760.0000	  0.0073	 -0.0085	     nan	  0.0000
480.0000	5760.0000	  0.0047	 -0.0091	     nan	  0.0000
512.0000	5760.0000	  0.0020	 -0.0092	     nan	  0.0000
544.0000	5760.0000	  0.0005	 -0.0092	     nan	  0.0000
576.0000	5760.0000	  0.0005	 -0.0093	     nan	  0.0000
608.0000	5760.0000	 -0.0001	 -0.0096	     nan	  0.0000
640.0000	5760.0000	 -0.0017	 -0.0091	     nan	  0.0000
672.0000	5760.0000	 -0.0047	 -0.0062	     nan	  0.0000
704.0000	5760.0000	 -0.0071	 -0.0021	     nan	  0.0000
736.0000	5760.0000	 -0.0086	  0.0019	     nan	  0.0000
768.0000	5760.0000	 -0.0095	  0.0057	     nan	  0.0000
800.0000	5760.0000	 -0.0110	  0.0097	     nan	  0.0000
832.0000	5760.0000	 -0.0124	  0.0136	     nan	  0.0000
864.0000	5760.0000	 -0.0135	  0.0171	     nan	  0.0000
896.0000	5760.0000	 -0.0135	  0.0192	     nan	  0.0000
928.0000	5760.0000	 -0.0130	  0.0201	     nan	  0.0000
960.0000	5760.0000	 -0.0127	  0.0202	     nan	  0.0000
992.0000	5760.0000	 -0.0130	  0.0195	     nan	  0.0000
1024.0000	5760.0000	 -0.0136	  0.0179	     nan	  0.0000
1056.0000	5760.0000	 -0.0142	  0.0156	     nan	  0.0000
1088.0000	5760.0000	 -0.0143	  0.0125	     nan	  0.0000
1120.0000	5760.0000	 -0.0139	  0.0090	     nan	  0.0000
1152.0000	5760.0000	 -0.0132	  0.0054	     nan	  0.0000
1184.0000	5760.0000	 -0.0123	  0.0023	     nan	  0.0000
1216.0000	5760.0000	 -0.0109	 -0.0002	     nan	  0.0000
1248.0000	5760.0000	 -0.0092	 -0.0019	     nan	  0.0000
1280.0000	5760.0000	 -0.0073	 -0.0028	     nan	  0.0000
1312.0000	5760.0000	 -0.0055	 -0.0030	     nan	  0.0000
1344.0000	5760.0000	 -0.0041	 -0.0025	     nan	  0.0000
1376.0000	5760.0000	 -0.0030	 -0.0016	     nan	  0.0000
1408.0000	5760.0000	 -0.0025	 -0.0008	     nan	  0.0000
1440.0000	5760.0000	 -0.0026	 -0.0001	     nan	  0.0000
1472.0000	5760.0000	 -0.0027	  0.0000	     nan	  0.0000
1504.0000	5760.0000	 -0.0032	 -0.0007	     nan	  0.0000
1536.0000	5760.0000	 -0.0040	 -0.0021	     nan	  0.0000
1568.0000	5760.0000	 -0.0029	 -0.0046	     nan	  0.0000
1600.0000	5760.0000	 -0.0000	 -0.0087	     nan	  0.0000
1632.0000	5760.0000	  0.0054	 -0.0127	     nan	  0.0000
1664.0000	5760.0000	  0.0146	 -0.0158	     nan	  0.0000
1696.0000	5760.0000	  0.0235	 -0.0172	     nan	  0.0000
1728.0000	5760.0000	  0.0307	 -0.0145	     nan	  0.0000
1760.0000	5760.0000	  0.0326	 -0.0108	     nan	  0.0000
1792.0000	5760.0000	  0.0174	 -0.0082	     nan	  0.0000
1824.0000	5760.0000	  0.0041	 -0.0053	     nan	  0.0000
1856.0000	5760.0000	  0.0058	 -0.0112	     nan	  0.0000
1888.0000	5760.0000	  0.0219	 -0.0151	     nan	  0.0000
1920.0000	5760.0000	  0.0089	 -0.0100	     nan	  0.0000
1952.0000	5760.0000	  0.0206	  0.0049	     nan	  0.0000
1984.0000	5760.0000	  0.0412	  0.0265	     nan	  0.0000
2016.0000	5760.0000	  0.0259	  0.0345	     nan	  0.0000
2048.0000	5760.0000	 -0.0078	  0.0492	     nan	  0.0000
 32.0000	5728.0000	 -0.0046	  0.0096	     nan	  0.0000
 64.0000	5728.0000	 -0.0061	  0.0077	     nan	  0.0000
 96.0000	5728.0000	 -0.0097	  0.0048	     nan	  0.0000
128.0000	5728.0000	 -0.0136	  0.0031	     nan	  0.0000
160.0000	5728.0000	 -0.0202	  0.0019	     nan	  0.0000
192.0000	5728.0000	 -0.0324	  0.0012	     nan	  0.0000
224.0000	5728.0000	 -0.0357	  0.0001	     nan	  0.0000
256.0000	5728.0000	 -0.0334	 -0.0024	     nan	  0.0000
288.0000	5728.0000	 -0.0271	 -0.0073	     nan	  0.0000
320.0000	5728.0000	 -0.0222	 -0.0095	     nan	  0.0000
352.0000	5728.0000	 -0.0179	 -0.0095	     nan	  0.0000
384.0000	5728.0000	 -0.0118	 -0.0085	     nan	  0.0000
416.0000	5728.0000	 -0.0062	 -0.0080	     nan	  0.0000
448.0000	5728.0000	 -0.0026	 -0.0080	     nan	  0.0000
