# x	y	u	v	s2n	mask
 32.0000	5792.0000	  0.0119	 -0.0097	     nan	  0.0000
 64.0000	5792.0000	  0.0154	 -0.0096	     nan	  0.0000
 96.0000	5792.0000	  0.0251	 -0.0095	     nan	  0.0000
128.0000	5792.0000	  0.0323	 -0.0092	     nan	  0.0000
160.0000	5792.0000	  0.0346	 -0.0072	     nan	  0.0000
192.0000	5792.0000	  0.0301	 -0.0013	     nan	  0.0000
224.0000	5792.0000	  0.0223	  0.0057	     nan	  0.0000
256.0000	5792.0000	  0.0097	  0.0149	     nan	  0.0000
288.0000	5792.0000	 -0.0102	  0.0274	     nan	  0.0000
320.0000	5792.0000	 -0.0224	  0.0334	     nan	  0.0000
352.0000	5792.0000	 -0.0283	  0.0333	     nan	  0.0000
384.0000	5792.0000	 -0.0308	  0.0278	     nan	  0.0000
416.0000	5792.0000	 -0.0302	  0.0243	     nan	  0.0000
448.0000	5792.0000	 -0.0286	  0.0238	     nan	  0.0000
480.0000	5792.0000	 -0.0262	  0.0264	     nan	  0.0000
512.0000	5792.0000	 -0.0232	  0.0279	     nan	  0.0000
544.0000	5792.0000	 -0.0206	  0.0271	     nan	  0.0000
576.0000	5792.0000	 -0.0190	  0.0229	     nan	  0.0000
608.0000	5792.0000	 -0.0168	  0.0182	     nan	  0.0000
640.0000	5792.0000	 -0.0130	  0.0134	     nan	  0.0000
672.0000	5792.0000	 -0.0066	  0.0072	     nan	  0.0000
704.0000	5792.0000	  0.0000	  0.0000	     nan	  0.0000
736.0000	5792.0000	  0.0059	 -0.0067	     nan	  0.0000
768.0000	5792.0000	  0.0113	 -0.0123	     nan	  0.0000
800.0000	5792.0000	  0.0170	 -0.0164	     nan	  0.0000
832.0000	5792.0000	  0.0224	 -0.0195	     nan	  0.0000
864.0000	5792.0000	  0.0268	 -0.0221	     nan	  0.0000
896.0000	5792.0000	  0.0298	 -0.0236	     nan	  0.0000
928.0000	5792.0000	  0.0320	 -0.0243	     nan	  0.0000
960.0000	5792.0000	  0.0336	 -0.0242	     nan	  0.0000
992.0000	5792.0000	  0.0344	 -0.0231	     nan	  0.0000
1024.0000	5792.0000	  0.0341	 -0.0211	     nan	  0.0000
1056.0000	5792.0000	  0.0328	 -0.0182	     nan	  0.0000
1088.0000	5792.0000	  0.0300	 -0.0143	     nan	  0.0000
1120.0000	5792.0000	  0.0258	 -0.0094	     nan	  0.0000
1152.0000	5792.0000	  0.0207	 -0.0041	     nan	  0.0000
1184.0000	5792.0000	  0.0153	  0.0009	     nan	  0.0000
