# x	y	u	v	s2n	mask
 32.0000	5792.0000	 -0.0096	  0.0081	     nan	  0.0000
 64.0000	5792.0000	 -0.0081	  0.0073	     nan	  0.0000
 96.0000	5792.0000	 -0.0048	  0.0058	     nan	  0.0000
128.0000	5792.0000	 -0.0024	  0.0048	     nan	  0.0000
160.0000	5792.0000	 -0.0018	  0.0052	     nan	  0.0000
192.0000	5792.0000	 -0.0052	  0.0088	     nan	  0.0000
224.0000	5792.0000	 -0.0107	  0.0134	     nan	  0.0000
256.0000	5792.0000	 -0.0186	  0.0199	     nan	  0.0000
288.0000	5792.0000	 -0.0294	  0.0293	     nan	  0.0000
320.0000	5792.0000	 -0.0336	  0.0334	     nan	  0.0000
352.0000	5792.0000	 -0.0298	  0.0336	     nan	  0.0000
384.0000	5792.0000	 -0.0165	  0.0313	     nan	  0.0000
416.0000	5792.0000	 -0.0103	  0.0285	     nan	  0.0000
448.0000	5792.0000	 -0.0113	  0.0268	     nan	  0.0000
480.0000	5792.0000	 -0.0196	  0.0266	     nan	  0.0000
512.0000	5792.0000	 -0.0255	  0.0261	     nan	  0.0000
544.0000	5792.0000	 -0.0272	  0.0244	     nan	  0.0000
576.0000	5792.0000	 -0.0241	  0.0204	     nan	  0.0000
608.0000	5792.0000	 -0.0207	  0.0160	     nan	  0.0000
640.0000	5792.0000	 -0.0183	  0.0123	     nan	  0.0000
672.0000	5792.0000	 -0.0173	  0.0090	     nan	  0.0000
704.0000	5792.0000	 -0.0151	  0.0057	     nan	  0.0000
736.0000	5792.0000	 -0.0122	  0.0025	     nan	  0.0000
768.0000	5792.0000	 -0.0094	 -0.0003	     nan	  0.0000
800.0000	5792.0000	 -0.0079	 -0.0021	     nan	  0.0000
832.0000	5792.0000	 -0.0073	 -0.0032	     nan	  0.0000
864.0000	5792.0000	 -0.0066	 -0.0040	     nan	  0.0000
896.0000	5792.0000	 -0.0045	 -0.0047	     nan	  0.0000
928.0000	5792.0000	 -0.0020	 -0.0054	     nan	  0.0000
960.0000	5792.0000	  0.0003	 -0.0058	     nan	  0.0000
992.0000	5792.0000	  0.0018	 -0.0056	     nan	  0.0000
1024.0000	5792.0000	  0.0027	 -0.0051	     nan	  0.0000
1056.0000	5792.0000	  0.0034	 -0.0044	     nan	  0.0000
1088.0000	5792.0000	  0.0042	 -0.0037	     nan	  0.0000
1120.0000	5792.0000	  0.0046	 -0.0031	     nan	  0.0000
1152.0000	5792.0000	  0.0048	 -0.0023	     nan	  0.0000
1184.0000	5792.0000	  0.0044	 -0.0013	     nan	  0.0000
1216.0000	5792.0000	  0.0037	 -0.0001	     nan	  0.0000
1248.0000	5792.0000	  0.0026	  0.0011	     nan	  0.0000
1280.0000	5792.0000	  0.0011	  0.0026	     nan	  0.0000
1312.0000	5792.0000	 -0.0008	  0.0042	     nan	  0.0000
1344.0000	5792.0000	 -0.0029	  0.0058	     nan	  0.0000
1376.0000	5792.0000	 -0.0049	  0.0074	     nan	  0.0000
1408.0000	5792.0000	 -0.0064	  0.0086	     nan	  0.0000
1440.0000	5792.0000	 -0.0072	  0.0093	     nan	  0.0000
1472.0000	5792.0000	 -0.0066	  0.0093	     nan	  0.0000
1504.0000	5792.0000	 -0.0052	  0.0083	     nan	  0.0000
1536.0000	5792.0000	 -0.0028	  0.0067	     nan	  0.0000
1568.0000	5792.0000	  0.0005	  0.0042	     nan	  0.0000
1600.0000	5792.0000	  0.0033	  0.0012	     nan	  0.0000
1632.0000	5792.0000	  0.0042	 -0.0016	     nan	  0.0000
1664.0000	5792.0000	  0.0031	 -0.0035	     nan	  0.0000
1696.0000	5792.0000	  0.0011	 -0.0059	     nan	  0.0000
1728.0000	5792.0000	 -0.0002	 -0.0094	     nan	  0.0000
